Service Provider Name:  Amazon
Datacenter Region: Region 1 Name: Datacenter_0
Host ID: 10 #PEs: 16 RAM: 131584
Host ID: 11 #PEs: 16 RAM: 131584
Host ID: 12 #PEs: 16 RAM: 131584
Host ID: 13 #PEs: 16 RAM: 131584
Host ID: 14 #PEs: 16 RAM: 131584
Host ID: 15 #PEs: 16 RAM: 131584
Host ID: 16 #PEs: 32 RAM: 262144
Host ID: 17 #PEs: 32 RAM: 262144
Host ID: 18 #PEs: 32 RAM: 262144
Host ID: 19 #PEs: 32 RAM: 262144
Host ID: 20 #PEs: 16 RAM: 131584
Host ID: 21 #PEs: 16 RAM: 131584
Host ID: 22 #PEs: 16 RAM: 131584
Host ID: 23 #PEs: 16 RAM: 131584
Host ID: 24 #PEs: 16 RAM: 131584
Host ID: 25 #PEs: 16 RAM: 131584
Host ID: 26 #PEs: 16 RAM: 131584
Host ID: 27 #PEs: 32 RAM: 262144
Host ID: 28 #PEs: 16 RAM: 131584
Host ID: 29 #PEs: 16 RAM: 131584
Host ID: 30 #PEs: 16 RAM: 131584
Host ID: 31 #PEs: 32 RAM: 262144
Datacenter Region: Region 4 Name: Datacenter_3
Host ID: 0 #PEs: 16 RAM: 131584
Host ID: 1 #PEs: 16 RAM: 131584
Host ID: 2 #PEs: 32 RAM: 262144
Host ID: 3 #PEs: 16 RAM: 131584
Host ID: 4 #PEs: 32 RAM: 262144
Host ID: 5 #PEs: 32 RAM: 262144
Host ID: 6 #PEs: 16 RAM: 131584
Host ID: 7 #PEs: 32 RAM: 262144
Host ID: 8 #PEs: 32 RAM: 262144
Host ID: 9 #PEs: 16 RAM: 131584
Host ID: 10 #PEs: 16 RAM: 131584
Host ID: 11 #PEs: 16 RAM: 131584
Host ID: 12 #PEs: 16 RAM: 131584
Host ID: 13 #PEs: 16 RAM: 131584
Host ID: 14 #PEs: 16 RAM: 131584
Host ID: 15 #PEs: 32 RAM: 262144
Host ID: 16 #PEs: 16 RAM: 131584
Host ID: 17 #PEs: 32 RAM: 262144
Host ID: 18 #PEs: 16 RAM: 131584
Host ID: 19 #PEs: 16 RAM: 131584
Host ID: 20 #PEs: 16 RAM: 131584
Host ID: 21 #PEs: 16 RAM: 131584
Host ID: 22 #PEs: 16 RAM: 131584
Host ID: 23 #PEs: 16 RAM: 131584
Host ID: 24 #PEs: 32 RAM: 262144
Host ID: 25 #PEs: 16 RAM: 131584
Host ID: 26 #PEs: 16 RAM: 131584
Host ID: 27 #PEs: 16 RAM: 131584
Host ID: 28 #PEs: 16 RAM: 131584
Host ID: 29 #PEs: 32 RAM: 262144
Host ID: 30 #PEs: 16 RAM: 131584
Host ID: 31 #PEs: 16 RAM: 131584
